"Source","Target"
"A Holzschuh","I Bartomeus"
"A Magrach","I Bartomeus"
"A Novy","I Bartomeus"
"A Pérez","I Bartomeus"
"A Traveset","I Bartomeus"
"B Hill","I Bartomeus"
"B Padrón","I Bartomeus"
"C Coux","I Bartomeus"
"C Morales","I Bartomeus"
"D Cariveau","I Bartomeus"
"D Kleijn","I Bartomeus"
"D Pattemore","I Bartomeus"
"D Perals","I Bartomeus"
"D Sol","I Bartomeus"
"E Manzano","I Bartomeus"
"F Rodriguez","I Bartomeus"
"F Rodríguez","I Bartomeus"
"F Sánchez","I Bartomeus"
"G Benadi","I Bartomeus"
"G Ecoflor","I Bartomeus"
"G Nayak","I Bartomeus"
"J Alba","I Bartomeus"
"J Andreu","I Bartomeus"
"J Beggs","I Bartomeus"
"J Biesmeijer","I Bartomeus"
"J Fründ","I Bartomeus"
"J González","I Bartomeus"
"J Lanuza","I Bartomeus"
"J Maspons","I Bartomeus"
"J Reilly","I Bartomeus"
"J Stavert","I Bartomeus"
"L Carvalheiro","I Bartomeus"
"L Garibaldi","I Bartomeus"
"L Marini","I Bartomeus"
"M Albrecht","I Bartomeus"
"M Boiffier","I Bartomeus"
"M Má Collado","I Bartomeus"
"M Nogales","I Bartomeus"
"M Stang","I Bartomeus"
"M Vall","I Bartomeus"
"M Vila","I Bartomeus"
"M Vilà","I Bartomeus"
"O Godoy","I Bartomeus"
"R Rader","I Bartomeus"
"R Winfree","I Bartomeus"
"T Schuler","I Bartomeus"
"V Gagic","I Bartomeus"
"D Gravel","I Dickie"
"I Bartomeus","I Dickie"
"J Tylianakis","I Dickie"
"M Aizen","I Dickie"
"I Bartomeus","I Gimeno"
"M Vila","I Gimeno"
"A Dietzsch","I Steffan"
"I Bartomeus","I Steffan"
"L Garibaldi","I Steffan"
"M Vila","I Steffan"
"M Vilà","I Steffan"
"S Potts","I Steffan"
"T Petanidou","I Steffan"
"D Cariveau","J Ascher"
"G Nayak","J Ascher"
"I Bartomeus","J Ascher"
"J Zientek","J Ascher"
"A Gaskett","J Beggs"
"D Pattemore","J Beggs"
"G Liñán","J Beggs"
"I Bartomeus","J Beggs"
"J Stavert","J Beggs"
"L Carvalheiro","J Biesmeijer"
"I Bartomeus","J Bosch"
"G Benadi","J Fründ"
"I Bartomeus","J Fründ"
"J Biesmeijer","J Fründ"
"L Carvalheiro","J Fründ"
"D Cariveau","J Gibbs"
"G Nayak","J Gibbs"
"I Bartomeus","J Gibbs"
"J Ascher","J Gibbs"
"J Reilly","J Gibbs"
"J Zientek","J Gibbs"
"M Park","J Gibbs"
"N Williams","J Gibbs"
"R Winfree","J Gibbs"
"A Magrach","J González"
"C Walthall","J Hatfield"
"A Novy","J Katz"
"I Bartomeus","J Katz"
"T Schuler","J Katz"
"D Sol","J Maspons"
"D Sol","J Pino"
"I Bartomeus","J Pino"
"D Sol","J Piñol"
"G García","J Piñol"
"I Bartomeus","J Piñol"
"J Maspons","J Piñol"
"M Vall","J Piñol"
"R Rader","J Reilly"
"R Winfree","J Reilly"
"I Bartomeus","J Stavert"
"A Dietzsch","J Stout"
"I Bartomeus","J Stout"
"I Steffan","J Stout"
"M Vilà","J Stout"
"T Petanidou","J Stout"
"C Coux","J Tylianakis"
"D Gravel","J Tylianakis"
"I Bartomeus","J Tylianakis"
"R Rader","J Tylianakis"
"D Cariveau","J Zientek"
"G Nayak","J Zientek"
"I Bartomeus","J Zientek"
"D Kleijn","L Carvalheiro"
"I Bartomeus","L Carvalheiro"
"R Winfree","L Carvalheiro"
"I Bartomeus","L Dicks"
"I Bartomeus","L Garibaldi"
"R Rader","L Garibaldi"
"C Walthall","L Lengnick"
"J Hatfield","L Lengnick"
"P Backlund","L Lengnick"
"I Bartomeus","L Santamaría"
"M Vilà","L Santamaría"
"D Gravel","M Aizen"
"I Bartomeus","M Aizen"
"I Steffan","M Aizen"
"J Tylianakis","M Aizen"
"L Garibaldi","M Aizen"
"R Winfree","M Aizen"
"A Magrach","M Boiffier"
"J González","M Boiffier"
"I Bartomeus","M Garratt"
"L Garibaldi","M Garratt"
"R Rader","M Garratt"
"D Kleijn","M Henry"
"I Bartomeus","M Henry"
"L Carvalheiro","M Henry"
"R Winfree","M Henry"
"A Traveset","M Nogales"
"C Morales","M Nogales"
"I Bartomeus","M Park"
"A Novy","M Robson"
"I Bartomeus","M Robson"
"J Katz","M Robson"
"T Schuler","M Robson"
"G Benadi","M Stang"
"J Biesmeijer","M Stang"
"J Fründ","M Stang"
"L Carvalheiro","M Stang"
"D Sol","M Vall"
"J Maspons","M Vall"
"I Bartomeus","M Vila"
"A Magrach","M Vilà"
"E Dana","M Vilà"
"E Manzano","M Vilà"
"I Bartomeus","M Vilà"
"J Andreu","M Vilà"
"J Bosch","M Vilà"
"J González","M Vilà"
"M Boiffier","M Vilà"
"C Walthall","M Walsh"
"E Marshall","M Walsh"
"J Hatfield","M Walsh"
"L Lengnick","M Walsh"
"P Backlund","M Walsh"
"D Cariveau","N Williams"
"I Bartomeus","N Williams"
"J Fründ","N Williams"
"J Reilly","N Williams"
"R Winfree","N Williams"
"D Ward","O Aguado"
"I Bartomeus","O Aguado"
"J Stavert","O Aguado"
"I Bartomeus","O Godoy"
"J Lanuza","O Godoy"
"C Walthall","P Backlund"
"J Hatfield","P Backlund"
"D Sol","P Vicente"
"I Bartomeus","P Vicente"
"J Pino","P Vicente"
"E Öckinger","R Bommarco"
