highlight,short,category,date,PI,money,value,extra
TRUE,NA,teaching&mentoring,Spring 2011,NA,NA,"Mentoring of high school student Divya Seshadri within the Science Research program at The Lawrenceville School, Princeton, USA.",NA
TRUE,NA,teaching&mentoring,2009-2010,NA,NA,"Graduate Teaching Assistantship in the ecology department form the Biology degree in the Autonomous University of Barcelona (UAB), Spain. ",NA
TRUE,NA,teaching&mentoring,Spring 2009,NA,NA,"Guest lecturer for the Master curse “Ecological theory”, Department of Ecology, UAB. Barcelona.",NA
TRUE,NA,teaching&mentoring,Summer 2009,NA,NA,"Preparing and teaching a full course on “How to organize your scientific research” at the Estelí University, Nicaragua. ",NA
TRUE,NA,teaching&mentoring,Spring 2016,NA,NA,Preparing a teaching a one week course on R at “Centro de estudios andaluces”,NA
TRUE,NA,Research_grants,2015 – 2016,PI,35000,“Entendiendo el pasado para predecir el Futuro de los polinizadores”. 2015. Proyecto Fundación BBVA. 35.000 EUR. IP: I. Bartomeus,NA
TRUE,NA,Research_grants,2015 – 2017,PI,65000,“Unificando estructura de redes y coexistencia entre especies” (LINCX). 2015-2017. Proyecto Explora Ciencia (MINECO). 65.000 EUR IP: I.Bartomeus,NA
TRUE,NA,Research_grants,2015 – 2018,NA,NA,Enhancing biodiversity-based ecosystem services to crops through optimized densities of green infrastructure in agricultural landscapes (BiodivERsA-FACCE2014-68: ECODEAL). 2015-2018. IP: Yann Clought (collaborating 5 EU countries and 20 researchers),NA
TRUE,NA,Research_grants,2014 – 2017,PI,100000,Pollinator responses to global change and its implications for ecosystem functioning. (BeeFun) 2014-2018. Project EU FP7 PEOPLE CIG. 100.000 EUR. IP: I. Bartomeus. ,NA
TRUE,NA,Research_grants,2014 – 2017,Co-PI,165000,Life history strategies to cope with human-induced rapid environmental changes (Survive-Hirec) 2014-2017. MINECO. 165.000 EUR. PI: D. Sol & I.Bartomeus ,NA
TRUE,NA,Research_grants,2013 – 2014,Co-PI,25000,Managing Ecosystem Services in Field Bean. 2013. CL Behm Fund baljväxtodling. 25.000 EUR. IP: I. Bartomeus & R. Bommarco.,NA
TRUE,NA,Research_grants,NA,NA,NA,"“Respuesta de las aves a los cambios ambientales: ¿Muchos perdedores y pocos ganadores?” (CGL2010-21838; Granting agency: Ministerio de Ciencia y Educación). PI: Dr. D Sol; Co-Investigators: L Lefebvre, T Székely, I Bartomeus, G García-Peña.",NA
TRUE,NA,Research_grants,NA,NA,NA,"How many species are required for ecosystem services? (Faculty research grant program; Granting agency: Rutgers University). PI: Dr. R Winfree; Co-Investigators: I Bartomeus, J. Reilly.",NA
TRUE,NA,Research_grants,NA,NA,NA,"Assessing pollinator changes using a 140 years data set. (Pre tenure faculty award; Granting agency: Rutgers University). PI: Dr. R Winfree; Co-Investigators: I Bartomeus, J. Ascher.",NA
TRUE,NA,Presentations_in_congresses,2015,NA,NA,"Bartomeus, I. Mass flowering crops alter plant-pollinator networks. Gfö meeting. Göttingen, Germany. . Oral Presentation. September 2015",NA
TRUE,NA,Presentations_in_congresses,2014,NA,NA,"Bartomeus, I. Are plant-pollinator networks enhancing stability? BES meeting. Lille. . Oral Presentation. December 2014",NA
