media,year,paper,place,title,author,link
newspaper,2013,Science 2013,NPR,NA,NA,http://www.npr.org/blogs/thesalt/2013/03/01/173167125/wild-bees-are-good-for-crops-but-crops-are-bad-for-bees?sc=17&f=1001
newspaper,2013,Science 2013,Science daily,NA,NA,http://www.sciencedaily.com/releases/2013/02/130228155622.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily%2Fplants_animals+%28ScienceDaily%3A+Plants+%26+Animals+News%29&utm_content=Google+Reader
radio,2013,Science 2013,Swedish National radio,NA,NA,NA
newspaper,2012,Science 2012,The guardian,NA,NA,http://t.co/QIBBF74u
newspaper,2012,GEB 2012,UAB divulga,NA,NA,http://www.uab.cat/servlet/Satellite?cid=1096481466574&pagename=UABDivulga%2FPage%2FTemplatePageDetallArticleInvestigar&param1=1339396418859
radio,2012,general,"Via verde, RTVE",NA,NA,http://www.rtve.es/alacarta/audios/vida-verde/vida-verde-huertos-comunitarios-abejas-ciudad-12-05-12/1402151/
newspaper,2011,PNAS 2011,USA Today,NA,NA,http://content.usatoday.com/communities/sciencefair/post/2011/12/bees-plants-pollination-climate-change-global-warming/1
newspaper,2011,PNAS 2011,Science daily,NA,NA,http://www.sciencedaily.com/releases/2011/12/111212124601.htm
newspaper,2011,PNAS 2011,Cornell webpage.,NA,NA,http://www.news.cornell.edu/stories/Dec11/BeesClimate.html
newspaper,2011,PNAS 2011,Hunterdon County Democrat,NA,NA,http://www.nj.com/hunterdon-county-democrat/index.ssf/2012/02/editorial_column_plants_and_an.html
internet,2011,PNAS 2011,Entomoblog,NA,NA,http://entomoblog.net/Las-abejas-y-el-cambio-climatico.html#forum2713
newspaper,2011,PNAS 2011,York News,NA,NA,http://t.co/xJswEMxD
newspaper,2011,PNAS 2011,Uconn news,NA,NA,http://today.uconn.edu/blog/2011/12/biological-collections-help-scientists-document-environmental-change/
newspaper,2011,PNAS 2011,Bioon,NA,NA,http://www.bioon.com/biology/Ecology/513005.shtml
newspaper,2011,PNAS 2011,Ambiente Brasil,NA,NA,http://noticias.ambientebrasil.com.br/clipping/2011/12/07/77575-mudancas-climaticas-alteram-ciclo-reprodutivo-de-abelhas-diz-cientista.html
newspaper,2011,PNAS 2011,EP-TV,NA,NA,http://eptv.globo.com/terradagente/NOT00382583Clima+altera+reproducao+.aspx
newspaper,2011,PNAS 2011,Camicagrupen,NA,NA,http://carnicagruppen.blogspot.com/2011/12/blommor-och-bin.html
journal,2011,PNAS 2011,Current biology dispatch,NA,NA,http://www.cell.com/current-biology/abstract/S0960-9822(12)00010-3?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982212000103%3Fshowall%3Dtrue
news,2008,Oecologia 2008,Science daily,NA,NA,http://www.sciencedaily.com/releases/2008/05/080516125934.htm
TV,2008,general,"El mediambient, TV3",NA,NA,NA
newspaper,2016,general,El Correo de Sevilla,NA,NA,NA
TV,2016,general,Portuguese documentary on Climate change,NA,NA,https://vimeo.com/198318586
newspaper,2019,general,El Pais,NA,NA,https://elpais.com/elpais/2019/12/24/ciencia/1577173702_312985.html
video,2019,general,Atlas for Future,NA,NA,https://www.youtube.com/watch?v=CiZNbQkozpo
news,2019,BumblebeeHibrids,New Scientist,NA,NA,https://www.newscientist.com/article/2220430-farmed-bees-are-mating-with-native-bees-and-that-could-endanger-them/
news,2018,Phil Trans 2018,Noticias de la ciencia,NA,NA,https://noticiasdelaciencia.com/art/30889/declive-del-30-por-ciento-en-las-abejas-de-espana
newspaper,2019,Science2019,National Geographic,NA,NA,https://www.nationalgeographic.com.es/naturaleza/actualidad/una-gran-diversidad-abejas-crucial-para-asegurar-polinizacion-los-cultivos_12383/2
news,2019,NA,Phys,NA,NA,https://phys.org/news/2019-03-bee-diversity-critical-world-food.html
news,2019,NA,Physworld,NA,NA,https://physicsworld.com/a/how-can-science-best-help-bees/
newspaper,2018,NA,El Diario,NA,I Bartomeus,https://www.eldiario.es/autores/ignasi_bartomeus/
newspaper,2018,NA,La Vanguardia,NA,NA,https://www.lavanguardia.com/natural/20190819/464143675799/corredor-verde-londres-abejas-insectos-biodiversidad.html
news,2019,NA,Ambientum,NA,NA,https://www.ambientum.com/ambientum/biodiversidad/espana-centenar-especies-abejas.asp
newspaper,2019,NA,El Diario,NA,I Bartomeus,https://www.eldiario.es/cienciacritica/Replanteando-modelo-publicacion-informacion-cientifica_6_862023805.html
newspaper,2019,NA,El Pais,NA,NA,https://elpais.com/elpais/2019/10/16/ciencia/1571215886_049526.html
newspaper,2017,NA,El Correo de Sevilla,NA,NA,https://elcorreoweb.es/andalucia/europa-se-queda-sin-insectos-EH3485446
newspaper,2018,NA,ABC,NA,NA,https://www.abc.es/ciencia/abci-nuestra-supervivencia-no-solo-depende-abejas-miel-201802152013_noticia.html
newspaper,2019,NA,Ara,NA,NA,https://www.ara.cat/dossier/papallones-regressio-Catalunya_0_2206579391.html
news,2018,NA,Noticias de Ciencia,NA,NA,https://noticiasdelaciencia.com/art/30889/declive-del-30-por-ciento-en-las-abejas-de-espana
newspaper,2018,NA,ABC Sevilla,NA,NA,https://sevilla.abc.es/economia/sevi-diversidad-abejas-para-polinizar-cultivos-201803120743_noticia.html
news,2019,NA,Focus (IT),NA,NA,https://www.focus.it/ambiente/animali/api-un-altro-problema
newspaper,2018,NA,El Periódico de Catalunya,NA,NA,https://www.elperiodico.cat/ca/medi-ambient/20180427/el-malestar-de-les-abelles-6789623
newspaper,2018,NA,El Periódico,NA,NA,https://www.elperiodico.com/es/medio-ambiente/20180427/los-achaques-de-las-abejas-6789623
newspaper,2019,NA,El Pais,NA,NA,https://elpais.com/sociedad/2019/03/22/actualidad/1553259263_166792.html
news,2019,NA,Ouest France (FR),NA,NA,https://www.ouest-france.fr/sciences/abeilles-il-n-y-pas-que-le-miel-dans-la-vie-6341691
news,2018,NA,Innova Spain,NA,NA,https://www.innovaspain.com/detectar-ecosistemas-riesgo-extincion-upm/
newspaper,2015,NA,El Correo de Sevilla,NA,I Bartomeus,https://www.eldiario.es/andalucia/lacuadraturadelcirculo/declive-abejas_6_428417163.html
news,2018,NA,SINC,NA,NA,https://www.agenciasinc.es/Noticias/Una-herramienta-para-descubrir-ecosistemas-en-riesgo-de-extincion
newspaper,2017,NA,El Diario de Andalucia,NA,NA,https://www.diariodesevilla.es/vivirensevilla/BatomosB-cervezas_0_1135687078.html
newspaper,2016,NA,El Diario,NA,NA,https://www.eldiario.es/andalucia/lacuadraturadelcirculo/pasa-abejas_6_502609736.html
news,2018,NA,Voz Populi,NA,NA,https://www.vozpopuli.com/altavoz/next/abejas-miel-buenas-apicultores-medioambiente_0_1106890070.html
news,2018,NA,SINC,NA,NA,https://www.agenciasinc.es/Noticias/Las-abejas-de-la-miel-compiten-con-las-salvajes-por-el-mismo-habitat
news,2017,NA,Manitoba Cooperator,NA,NA,https://www.manitobacooperator.ca/crops/pollinator-seed-mixes-tailor-made/
newspaper,2017,NA,La Opinión de Malaga,NA,NA,https://www.laopiniondemalaga.es/malaga/2017/10/16/silenciosa-desaparicion-insectos/961715.html
news,2018,NA,ECOticias,NA,NA,https://www.ecoticias.com/naturaleza/183769/Innovadora-herramienta-para-descubrir-ecosistemas-riesgo-extincion
newspaper,2017,NA,La Vanguardia Magazine,NA,NA,http://www.magazinedigital.com/historias/reportajes/en-un-mundo-sin-insectos
